Taxa and Samples	PR10B	PR11B	PR12B	PR13B	PR14B	PR15B	PR16B	PR17B	PR18B	PR19B	PR20B	PR21B	PR22B	PR23B	PR24B	PR25B	PR26B	PR27B	PR28B	PR29B	PR30B	PR31B	PR32B	PR33B	PR34B	PR35B	PR36B	PR5B	PR6B	PR7B	PR8B	PR9B
f674907a0ef3e7ab32109a8580f91eb2	6.92692937647461	0	0	0	3.70742531932217	1.29807293332838	0	9.0620489152549	10.7728951285228	2.28823236058101	0	3.10736653158388	1.38017101757248	0	0	12.6520971429681	15.1526193686858	6.45098828458022	1.93265189305129	0	0	6.5003929791074	6.86954892793761	10.8376054912188	11.9523508709636	4.76809958647327	4.53274381706337	0	0	0	0	5.91677638017091
6b83b8975e91f07634612c51901650e5	2.29686683233388	0	0	2.32655582953988	2.41422846184602	2.77315412132725	0	0	0	0	0	2.18748402937166	0	10.0156213005986	0	12.0306297464671	14.9642106561859	0	0	0	0	0	1.86020401828398	2.54125131393919	1.91030070163879	2.84572026838101	1.84550006301998	0	0	0	0	2.41660165735138
f8a1d82ff48413f5b5235a150074f980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3786805466539	17.3611669395954	0
38d783b039e40b1727a0af0e62ecd24c	0	0	0	0	0	0	0	0	0	3.03812120520774	2.70884379068796	3.95180713484671	4.66175240166567	13.7986145422434	0	9.98791461508786	10.2138367705557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03f26dd47a4111b8375045a57865365b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4999657594408	16.9302528950188	0
d89d0ea52cca0336515d7ce0fc07d3f1	10.0867092513569	12.6539751664299	12.3498793003377	10.2091254609258	9.51550291824432	9.39387207718188	8.67633302801361	8.29278195962941	7.23644824170014	4.1861128651072	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99294483658706	1.91030070163879	0	0	0	0	0	0	10.2651925121267
8a0a8e15e4241bf6970cb72a69aa2203	11.978091247698	6.96774095311393	7.17454772961801	7.59820948913688	4.98284364425778	3.93529189673974	3.84055689662048	7.45327957590012	6.15776395552909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.967226258836	0	0	12.948648184025
e86817e4b1fcfdc34f9e22b2906110fc	2.8473955275907	5.77224333926584	6.72543257002543	3.54960814570356	1.51392597918306	2.42680311575584	3.38393931260314	0.937121276706016	1.24138655102636	13.0435889276546	10.2313503152658	10.9086026575889	10.8007337457638	6.19600417997891	0	5.13819468245913	0	1.84903951913231	1.84107378311432	1.84785799219917	3.60157274212391	0	1.61677743186699	0	0	0	0	0	0	0	0	3.62625976636958
0170ae519d62417650c85a69ab1eba2e	0	0	0	0	0	0	0	0	0	0	0	0	2.24498300889298	0	0	0	0	8.63588784889263	11.3440169413179	10.6724835594519	11.4871738821213	8.80642548151164	8.60297392972605	5.11879810281576	5.02019849690536	6.29789187003077	6.17450729577579	0	0	0	0	0
0320e7fe8df261784b909ccc8e89035b	0	0	0	0	0	0	0	0	0	0	0	0	0	9.20019056385488	12.9870169311474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30cc50b568205c606d6614d7391e7d05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1958214769853	16.321026412166	0
b875c6d76d346cf88b4ab275f0747a12	10.6187787679121	1.34082350284352	0	7.31256710759816	8.59279803557232	11.1032929749633	8.41282900476482	10.3994334048479	8.07406477736154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73493793821692
b34e804341b4f909ea0bd145a78b5b58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23782906594412	5.92620376468806	5.88894431755676	3.24072470236124	4.75470228004986	3.97811507289611	3.727044632221	4.38662641274546	10.1482711377405	8.8201278879637	10.7382721416813	10.4399021707524	0	0	0	0	0
4dad4a4ad16ac7fa7b260f658cf9b3d5	11.1972363324739	0	0	1.58881997639067	1.66228374820847	7.78420234652228	10.0451107920265	9.77577532025896	8.83842575018026	0	0	0	0	0	0	0	9.67522830883287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1191341956052
27f9b98aa263d5c9eee71a38fc652589	7.40896461353927	0	0	0	2.32798423457752	5.06133750606653	0	10.4267741546398	10.8467869862691	0	0	0	0	0	0	5.56270218873017	6.07013592732293	7.30886283410993	4.92360619538472	5.67976059796521	0	6.20890104827343	7.52514337915398	8.98966751214267	8.39673705523988	8.03571730124878	7.94141417819112	0	0	0	0	6.92869921952747
ff72b0b47fe01158b665921a110ce956	4.89248291418912	2.72701606130137	3.46704882239843	9.01793010415658	11.6859947626625	11.5308845912971	5.87641127197702	3.81090885266388	4.56356436954604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72980903681629
c829784313235a7d5904c60729c93631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96549253905092	8.4234684234663	8.62673393388385	7.90814720030213	10.382508847307	10.0864623835835	7.13522285940945	5.22562745411836	6.4916683604256	7.39744160434121	0	0	0	0	0
