Sample	Total_Abundance	Recovery_Percent	Observed_ASVs
POC3-C	0	0	0
POC3-g	122140	65.89	11
JB-DP	185380	100	118
JB-C	163553	88.23	373
POE1-gc	136068	73.4	535
JB-B	110862	59.8	607
JB-g	144527	77.96	958
POC3-B	131849	71.12	976
POE1-g	136159	73.45	976
POE1-R	107436	57.95	1077
POE1-B	121593	65.59	1197
PS-C2	140622	75.86	1413
PS-L	125748	67.83	1455
PS-C1	147440	79.53	1591
PS-Br	149762	80.79	1705
PS-Bottom	159236	85.9	1952
