Sample	Total_Abundance	Recovery_Percent	Observed_ASVs
JB-DP	197124	100	112
JB-C	169219	85.84	395
POE1-gc	142304	72.19	543
JB-B	189985	96.38	634
POC3-B	101409	51.44	792
JB-g	150137	76.16	988
POE1-g	145511	73.82	1002
POE1-R	120272	61.01	1085
POE1-B	152745	77.49	1225
PS-C2	150093	76.14	1449
PS-L	165381	83.9	1482
PS-C1	162896	82.64	1625
PS-Br	168613	85.54	1712
PS-Bottom	179593	91.11	1976
